# Tiempo (s) 	 Tensión CH1 (V) 	 Tensión CH2 (V)
1.899999999999998749e-06	9.800000000000000711e+00	0.000000000000000000e+00
1.999999999999997792e-06	1.000000000000000000e+01	4.000000000000000192e-04
2.099999999999996834e-06	1.020000000000000107e+01	0.000000000000000000e+00
2.199999999999995877e-06	1.000000000000000000e+01	0.000000000000000000e+00
2.299999999999998308e-06	1.000000000000000000e+01	0.000000000000000000e+00
2.399999999999997350e-06	1.000000000000000000e+01	0.000000000000000000e+00
2.499999999999996393e-06	1.020000000000000107e+01	0.000000000000000000e+00
2.599999999999998824e-06	1.040000000000000036e+01	4.000000000000000192e-04
2.699999999999997866e-06	1.020000000000000107e+01	0.000000000000000000e+00
2.799999999999996909e-06	1.000000000000000000e+01	0.000000000000000000e+00
2.899999999999995951e-06	1.000000000000000000e+01	4.000000000000000192e-04
2.999999999999998382e-06	1.000000000000000000e+01	0.000000000000000000e+00
3.099999999999997424e-06	9.800000000000000711e+00	0.000000000000000000e+00
3.199999999999996467e-06	9.800000000000000711e+00	0.000000000000000000e+00
3.299999999999998898e-06	9.800000000000000711e+00	0.000000000000000000e+00
3.399999999999997940e-06	9.600000000000001421e+00	0.000000000000000000e+00
3.499999999999996983e-06	9.600000000000001421e+00	8.000000000000000383e-04
3.599999999999996025e-06	9.600000000000001421e+00	4.000000000000000192e-04
3.699999999999998456e-06	9.600000000000001421e+00	0.000000000000000000e+00
3.799999999999997499e-06	9.400000000000000355e+00	4.000000000000000192e-04
3.899999999999996541e-06	9.600000000000001421e+00	0.000000000000000000e+00
3.999999999999998972e-06	9.800000000000000711e+00	4.000000000000000192e-04
4.099999999999998015e-06	9.800000000000000711e+00	0.000000000000000000e+00
4.199999999999997057e-06	9.800000000000000711e+00	0.000000000000000000e+00
4.299999999999996100e-06	9.800000000000000711e+00	0.000000000000000000e+00
4.399999999999998530e-06	9.800000000000000711e+00	0.000000000000000000e+00
4.499999999999997573e-06	9.800000000000000711e+00	4.000000000000000192e-04
4.599999999999996615e-06	1.000000000000000000e+01	0.000000000000000000e+00
4.699999999999999046e-06	1.000000000000000000e+01	4.000000000000000192e-04
4.799999999999998089e-06	1.000000000000000000e+01	0.000000000000000000e+00
4.899999999999997131e-06	1.000000000000000000e+01	0.000000000000000000e+00
4.999999999999996174e-06	1.020000000000000107e+01	4.000000000000000192e-04
5.099999999999998605e-06	1.020000000000000107e+01	0.000000000000000000e+00
5.199999999999997647e-06	1.000000000000000000e+01	0.000000000000000000e+00
5.299999999999996690e-06	1.020000000000000107e+01	-4.000000000000000192e-04
5.399999999999999120e-06	1.020000000000000107e+01	0.000000000000000000e+00
5.499999999999998163e-06	1.000000000000000000e+01	0.000000000000000000e+00
5.599999999999997205e-06	1.000000000000000000e+01	-4.000000000000000192e-04
5.699999999999999636e-06	1.000000000000000000e+01	0.000000000000000000e+00
5.799999999999995291e-06	9.800000000000000711e+00	0.000000000000000000e+00
