tiempo (s),señal CH1 (mV),señal CH2 (V)
0.00319,28,-9
0.0032,28,-8.8
0.0032,28.8,-9
0.0032,28.8,-9
0.00321,29.6,-9
0.00321,31.2,-8.8
0.00322,32,-8.8
0.00322,32.8,-8.8
0.00322,34.4,-9
0.00323,36,-8.8
0.00323,37.6,-9
0.00324,36.8,-8.8
0.00324,40.8,-8.8
0.00324,40.8,-9
0.00325,44.8,-9
0.00325,44,-9
0.00326,47.2,-8.8
0.00326,47.2,-9
0.00326,49.6,-8.8
0.00327,50.4,-9
0.00327,52.8,-9
0.00328,52.8,-9
0.00328,56.8,-9
0.00328,56,-9
0.00329,58.4,-9
0.00329,60,-8.8
0.0033,62.4,-9
0.0033,62.4,-9
0.0033,64,-9
0.00331,64.8,-9
0.00331,64.8,-9
0.00331,64.8,-9
0.00332,66.4,-9
0.00332,68.8,-9
0.00333,66.4,-8.8
0.00333,71.2,-9
0.00333,70.4,-8.8
0.00334,71.2,-9
0.00334,72,-9
0.00335,74.4,-8.8
0.00335,73.6,-8.8
0.00335,74.4,-9
0.00336,73.6,-9
0.00336,73.6,-9
0.00337,73.6,-8.8
0.00337,74.4,-9
0.00338,74.4,-9
0.00338,76.8,-8.8
0.00338,74.4,-9
0.00339,76.8,-9
0.00339,75.2,-8.8
0.0034,76,-9
0.0034,74.4,-9
0.0034,76,-9
0.00341,74.4,-8.8
0.00341,74.4,-9
0.00342,72,-9
0.00342,72.8,-8.8
0.00342,73.6,-8.8
0.00343,71.2,-8.8
0.00343,71.2,-9
0.00344,70.4,-8.8
0.00344,70.4,-9
0.00344,70.4,-8.8
0.00345,68,-9
0.00345,69.6,-9
0.00346,68,-8.8
0.00346,68,-8.8
0.00346,68,-8.8
0.00347,68,-8.8
0.00347,68,-9
0.00347,65.6,-9
0.00348,68,-8.8
0.00348,68,-9
0.00349,68,-9
0.00349,67.2,-9
0.00349,68,-9
0.0035,68,-9
0.0035,67.2,-9
0.00351,69.6,-9
0.00351,68.8,-8.8
0.00351,68,-8.8
0.00352,70.4,-9
0.00352,69.6,-9.2
0.00353,71.2,-8.8
0.00353,70.4,-9
0.00353,69.6,-9
0.00354,68.8,-9
0.00354,71.2,-9
0.00355,69.6,-9
0.00355,69.6,-9
0.00356,69.6,-9
0.00356,70.4,-9
0.00356,71.2,-9
0.00357,71.2,-8.8
0.00357,71.2,-9
0.00358,71.2,-9
0.00358,71.2,-8.8
0.00358,72,-8.8
0.00359,72,-9
0.00359,71.2,-9
0.00359,72,-9.2
0.0036,70.4,-9
0.0036,72,-9
0.00361,70.4,-9
0.00361,71.2,-9
0.00362,71.2,-9
0.00362,70.4,-9
0.00362,69.6,-9
0.00363,70.4,-8.8
0.00363,68.8,-8.8
0.00364,68,-9
0.00364,66.4,-9
0.00364,66.4,-9
0.00365,64.8,-8.8
0.00365,64.8,-8.8
0.00366,64,-8.8
0.00366,64.8,-8.8
0.00366,61.6,-9
0.00367,61.6,-8.8
0.00367,60,-9
0.00368,59.2,-9
0.00368,58.4,-9.2
0.00368,56.8,-8.8
0.00369,56,-9
0.00369,55.2,-9
0.0037,53.6,-9
0.0037,54.4,-9
0.0037,52.8,-9
0.00371,53.6,-8.8
0.00371,53.6,-9
0.00372,51.2,-8.8
0.00372,51.2,-9
0.00372,50.4,-9
0.00373,50.4,-9.2
0.00373,48.8,-9
0.00374,48,-8.8
0.00374,48.8,-9
0.00374,48,-9
0.00375,47.2,-8.8
0.00375,45.6,-9
0.00376,44.8,-9
0.00376,44.8,-9
0.00376,42.4,-8.8
0.00377,43.2,-9
0.00377,41.6,-9
0.00378,39.2,-9
0.00378,37.6,-8.8
0.00378,39.2,-8.8
0.00379,36.8,-9
0.00379,37.6,-8.8
0.0038,34.4,-9
0.0038,36,-9
0.0038,34.4,-9
0.00381,35.2,-8.8
0.00381,33.6,-9
0.00381,33.6,-9
0.00382,33.6,-9
0.00382,34.4,-9
0.00383,32.8,-9
0.00383,32.8,-9
0.00383,32,-9
0.00384,31.2,-9
0.00384,31.2,-8.8
0.00385,32,-9
0.00385,30.4,-9
0.00385,31.2,-9
0.00386,29.6,-9
0.00386,30.4,-9
0.00387,30.4,-9
0.00387,28,-8.8
0.00388,28.8,-8.8
0.00388,28,-9
0.00388,27.2,-9
0.00389,25.6,-9
0.00389,24.8,-9
0.0039,23.2,-8.8
0.0039,23.2,-9
0.0039,21.6,-8.8
0.00391,21.6,-9
0.00391,19.2,-9
0.00392,18.4,-9
0.00392,16.8,-9
0.00392,17.6,-8.8
0.00393,16,-9
0.00393,16,-9
0.00394,14.4,-9
0.00394,15.2,-9
0.00394,13.6,-9
0.00395,13.6,-9
0.00395,12.8,-9
0.00396,12.8,-8.8
0.00396,12,-8.8
0.00396,10.4,-9
0.00397,10.4,-8.8
0.00397,10.4,-9
0.00398,8.8,-8.8
0.00398,8,-8.8
0.00398,8.8,-8.8
0.00399,8,-9
0.00399,7.2,-9
0.004,6.4,-8.8
0.004,5.6,-9
0.004,4,-8.8
0.00401,4,-9
0.00401,3.2,-9
0.00401,2.4,-9
0.00402,0.8,-8.8
0.00402,0.8,-8.8
0.00403,0.8,-9
0.00403,0.8,-9
0.00404,-1.6,-8.8
0.00405,-0.8,-9
0.00405,-2.4,-9
0.00405,-1.6,-9
0.00406,-0.8,-9
0.00406,-0.8,-9
0.00407,-2.4,-9
0.00407,-0.8,-9
0.00407,-0.8,-8.8
0.00408,-1.6,-8.8
0.00408,-1.6,-9
0.00409,-1.6,-9
0.00409,-1.6,-9
0.0041,-2.4,-8.8
0.0041,-0.8,-8.8
0.00411,-2.4,-8.8
0.00411,1.6,-9
0.00412,-3.2,-9
0.00412,-1.6,-8.8
0.00413,-1.6,-8.8
0.00413,-3.2,-9
0.00413,-2.4,-9
0.00414,-3.2,-9
0.00414,-4,-8.8
0.00415,-3.2,-9
0.00415,-5.6,-8.8
0.00415,-4.8,-8.8
0.00416,-5.6,-9
0.00416,-4.8,-9
0.00417,-6.4,-8.8
0.00417,-4.8,-8.8
0.00417,-6.4,-9
0.00418,-5.6,-8.6
0.00418,-6.4,-9
0.00419,-6.4,-8.8
0.00419,-4.8,-9
0.00419,-6.4,-9
0.0042,-7.2,-9
0.0042,-4.8,-8.8
0.00421,-7.2,-8.8
0.00421,-7.2,-8.8
0.00422,-5.6,-9
0.00422,-5.6,-9
0.00422,-4.8,-8.8
0.00423,-6.4,-8.8
0.00423,-6.4,-9
0.00424,-6.4,-8.8
0.00424,-5.6,-8.8
0.00424,-4.8,-8.8
0.00425,-7.2,-8.8
0.00425,-5.6,-9
0.00426,-7.2,-9
0.00426,-4.8,-8.8
0.00426,-5.6,-8.8
0.00427,-5.6,-9
0.00427,-4.8,-9
0.00428,-4.8,-8.8
0.00428,-4,-9
