tiempo (s),señal CH1a (mV),señal CH1b (mV),señal CH2 (V)
0.00251,24,25.6,-9
0.00251,24,27.2,-9
0.00252,22.4,27.2,-9
0.00252,24,26.4,-9
0.00253,23.2,26.4,-9
0.00253,24.8,26.4,-9
0.00253,24,26.4,-9
0.00254,25.6,28,-9
0.00254,24.8,27.2,-9
0.00255,25.6,26.4,-9
0.00255,23.2,26.4,-9
0.00256,24.8,27.2,-8.8
0.00256,24.8,25.6,-9
0.00256,25.6,27.2,-9
0.00257,24.8,26.4,-8.8
0.00257,24.8,27.2,-9
0.00258,24.8,26.4,-8.8
0.00258,24.8,27.2,-9
0.00258,24.8,24.8,-9
0.00259,24,25.6,-8.8
0.00259,24.8,24.8,-9
0.00259,24.8,26.4,-8.8
0.0026,24.8,24.8,-9
0.0026,24,25.6,-9
0.00261,24.8,24,-9
0.00261,24.8,26.4,-9
0.00262,24.8,25.6,-9
0.00262,24,25.6,-9
0.00262,24.8,25.6,-9
0.00263,24.8,25.6,-9
0.00263,25.6,24.8,-9
0.00264,24.8,25.6,-8.8
0.00264,24.8,24.8,-9
0.00264,25.6,24.8,-9
0.00265,25.6,24.8,-8.8
0.00265,24.8,25.6,-8.8
0.00266,26.4,25.6,-9
0.00266,25.6,24.8,-9
0.00266,25.6,24.8,-8.8
0.00267,24.8,24.8,-9
0.00267,26.4,24.8,-9
0.00268,24.8,24.8,-9
0.00268,26.4,23.2,-8.8
0.00268,24.8,24.8,-8.8
0.00269,25.6,24.8,-8.6
0.00269,24,24.8,-8.8
0.00269,24.8,24.8,-8.8
0.0027,24.8,24,-8.8
0.0027,24.8,24.8,-9
0.00271,24.8,24.8,-8.8
0.00271,24.8,24.8,-8.6
0.00272,24.8,23.2,-9
0.00272,24.8,24,-8.6
0.00272,24,22.4,-9
0.00273,24,24,-8.8
0.00273,24.8,24.8,-9
0.00274,24.8,24,-9
0.00274,24,23.2,-9
0.00274,24.8,24,-9
0.00275,24.8,24,-8.8
0.00275,24.8,24.8,-9
0.00276,24,23.2,-8.8
0.00276,24,24,-9
0.00276,24.8,24.8,-9
0.00277,24.8,24.8,-9
0.00277,24.8,24,-9
0.00278,24,23.2,-8.8
0.00278,24,24,-8.8
0.00278,21.6,24,-9
0.00279,20.8,23.2,-9
0.00279,17.6,21.6,-8.8
0.0028,17.6,20,-9
0.0028,14.4,19.2,-8.8
0.0028,11.2,16.8,-8.6
0.00281,8.8,14.4,-9
0.00281,5.6,12.8,-8.8
0.00281,3.2,10.4,-8.8
0.00282,1.6,8.8,-8.8
0.00282,-3.2,4,-9
0.00283,-6.4,2.4,-8.8
0.00283,-8.8,-1.6,-8.8
0.00283,-11.2,-4,-8.8
0.00284,-15.2,-6.4,-9
0.00284,-18.4,-9.6,-8.8
0.00285,-19.2,-12,-8.8
0.00285,-23.2,-14.4,-9
0.00285,-25.6,-18.4,-8.8
0.00286,-27.2,-21.6,-8.8
0.00286,-30.4,-24,-8.6
0.00287,-31.2,-25.6,-8.8
0.00287,-34.4,-28,-9
0.00288,-36.8,-29.6,-9
0.00288,-38.4,-32,-9
0.00288,-40.8,-32.8,-8.8
0.00289,-42.4,-36.8,-8.8
0.00289,-43.2,-37.6,-8.8
0.0029,-43.2,-39.2,-9
0.0029,-45.6,-40.8,-8.8
0.0029,-46.4,-42.4,-9
0.00291,-45.6,-42.4,-8.8
0.00291,-47.2,-43.2,-8.8
0.00292,-46.4,-44,-8.8
0.00292,-47.2,-44,-9
